Accounting,المحاسبة
Accounting Masters,البيانات الأساسية للمحاسبة
company,الشركة
chart of accounts,دليل الحسابات
account settings,إعدادات الحسابات
fiscal years,السنوات المالية
Accounting Dimensions,تحليل الحركات المالية
Finance Book,الدفتر المحاسبي
Accounting Period,الفترة المحاسبية
Payment term,شروط السداد
Payments,المدفوعات
Payment Entry,سند قبض أو صرف
Journal Entry,قيد يومية
Journal Entry Template,نموذج قيد يومية
Terms and conditions,الشروط والأحكام
Mode of Payment,طرق الدفع
Tax Masters,إعدادات الضرائب
Sales Taxes and Charges Template,نموذج ضرائب ورسوم المبيعات
Purchase Taxes and Charges Template,نموذج ضرائب ورسوم المشتريات
Item tax template,نموذج ضريبة الصنف
Tax Category,الفئة الضريبية
tax rule,القاعدة الضريبية
tax withholding category,فئة ضريبة الاستقطاع
cost center and budgeting,مراكز التكلفة والموازنات
Chart of Cost Centers,دليل مراكز التكلفة
budget,الموازنة التقديرية
Cost Center Location,موقع مركز التكلفة
budget variance report,تقرير انحرافات الموازنة
monthly distribution,التوزيع الشهري
multi currency,العملات المتعددة
currency,العملة
currency exchange,أسعار صرف العملات
exchange rate revaluation,إعادة تقييم العملات الأجنبية
Banking,البنوك
Bank,البنك
Bank Account,الحساب البنكي
Bank Clearance,مقاصة الشيكات البنكية
Bank reconciliation tool,أداة التسوية البنكية
Bank reconciliation statement,كشف التسوية البنكية
plaid settings,إعدادات Plaid
Opening and closing,الأرصدة الافتتاحية والإقفال
Opening invoice creation tool,أداة إنشاء الفواتير الافتتاحية
chart of accounts importer,استيراد دليل الحسابات
period closing voucher,قيد إقفال الفترة
Subscription Management,إدارة الاشتراكات
subscription plan,خطة الاشتراك
subscription,الاشتراك
subscription settings,إعدادات الاشتراكات
Share Management,إدارة الأسهم
shareholder,المساهم
share transfer,نقل الأسهم
share ledger,سجل الأسهم
share balance,رصيد الأسهم
Payables,الذمم الدائنة
Reports & Masters,التقارير والبيانات الأساسية
purchase invoices,فواتير المشتريات
supplier,المورد
payments,المدفوعات
Payment entry,سند صرف
payment reconciliation,مطابقة الدفعات مع الفواتير
Reports,التقارير
Accounts payable,الذمم الدائنة
accounts payable summary,ملخص الذمم الدائنة
purchase register,سجل المشتريات
item wise purchase register,سجل المشتريات حسب الصنف
purchase order analysis,تحليل أوامر الشراء
Received Items To Be Billed,أصناف مستلمة لم تُفوتر بعد
supplier ledger summary,ملخص كشف حساب الموردين
Recruitment,التوظيف
Job opening,شاغر وظيفي
job applicant,متقدم للوظيفة
job offer,عرض وظيفي
Dashboards,لوحات المعلومات
jobs,الوظائف
staffing plan,خطة القوى العاملة
job requisition,طلب احتياج وظيفي
